1.5792370633651345e+00  1.0304969346233341e+00
4.1381472401298893e+00  8.5921502052710486e-01
2.0065031144956338e+00  8.7331972533438851e-01
6.3628159134217110e-01  1.3700277816438764e+00
3.3008257781610748e+00  1.9241288711937727e+00
9.9604784296503546e-01  1.0555759210657527e+00
5.5478618448724077e+00  1.5792230787745893e+00
4.2521032174118965e+00  1.5517536583388492e+00
5.3425133806717398e+00  1.6273902200121355e+00
4.8067599563599614e+00  1.7590367462033480e+00
5.0574238821576794e+00  2.2769570104496624e+00
4.0100538281159839e+00  2.1007371933829133e+00
4.5217023022892660e+00  6.5798669434346158e-01
4.4033559928942489e+00  7.2837049834212297e-01
2.0650336204233057e+00  1.5843498454508886e+00
3.2826824670870067e+00  1.3349748889654263e+00
5.4240203866414864e+00  1.1707167382444563e+00
3.1427565998717677e-01  2.3213952678596641e+00
3.0954901890124020e+00  1.4196091771319785e+00
2.7661652306691060e+00  2.1738749742554351e+00
5.7319394243143282e+00  2.6252358814317329e+00
4.0252107363539142e+00  2.6114278592565956e+00
6.1002733790764188e+00  4.7305750867072183e-01
3.6877689107220051e+00  1.5747989472114563e+00
5.3040021889796538e+00  2.3393409675997745e+00
2.9569542533362538e+00  1.2779177610498320e+00
3.3759847275731394e+00  1.4300522290472986e+00
1.1077322114717414e+00  1.9742277261847117e+00
4.0216599653433747e+00  1.1642199743520274e+00
6.0912223889257859e+00  1.7741198839968917e+00
3.3308791803719711e+00  2.1719127769765212e+00
2.9528409453586204e+00  2.1049756155784642e+00
4.9982238996856738e+00  1.7987542936945395e+00
5.9619479596149638e-01  2.7987888837941259e+00
5.5226086745218108e+00  1.8427729521143439e+00
6.2333260033356730e+00  1.4802954559151700e+00
3.1946461201616239e+00  1.4775167845265740e+00
4.3324738174838107e+00  2.6125325332140958e+00
3.5320997472995179e+00  1.4083928234203849e+00
2.9955378648893194e+00  1.6105457568546395e+00
2.0175006609346964e+00  1.2612326060641477e+00
3.6940028408728751e+00  9.2041485416248803e-01
5.7176863506397613e+00  2.2589013173696824e+00
4.2230422145627280e+00  3.7592465730953917e-01
5.9580365036668228e+00  1.4767419072037624e+00
5.7679586068738331e-01  5.5873397440778660e-01
3.1802545319128241e+00  1.2929736883661422e+00
6.9965858850834550e-01  2.2873109970668795e+00
3.4234753111243226e+00  2.6524623423075204e+00
4.4696674200039670e+00  2.8907672393293917e+00
9.7697050982439571e-01  2.2101604654863967e+00
